listing_id,high,medium,low
7211063,0.34,0.53,0.13
7224728,0.03,0.88,0.09
7102627,0.07,0.73,0.2
7092248,0.16,0.31,0.53
7207732,0.03,0.54,0.43
7103067,0.01,0.99,0.0
7229817,0.01,0.85,0.14
7172753,0.17,0.61,0.22
7125988,0.0,0.99,0.01
7091708,0.0,1.0,0.0
7120982,0.38,0.03,0.59
7200404,0.02,0.52,0.46
7134396,0.0,0.98,0.02
7094055,0.37,0.21,0.42
7220352,0.03,0.89,0.08
7097260,0.0,0.97,0.03
7132074,0.0,0.87,0.13
7195758,0.0,1.0,0.0
7218227,0.01,0.85,0.14
7191025,0.0,0.85,0.15
7152268,0.53,0.03,0.44
7210298,0.06,0.83,0.11
7096221,0.0,0.78,0.22
7137429,0.01,0.91,0.08
7141582,0.32,0.34,0.34
7125014,0.08,0.36,0.56
7204283,0.04,0.78,0.18
7129195,0.0,0.97,0.03
7208151,0.0,0.38,0.62
7169433,0.07,0.49,0.44
7194385,0.0,0.98,0.02
7184378,0.02,0.74,0.24
7112430,0.15,0.62,0.23
7224419,0.04,0.61,0.35
7176557,0.0,0.96,0.04
7185501,0.09,0.52,0.39
7205296,0.1,0.85,0.05
7143873,0.02,0.97,0.01
7227106,0.02,0.6,0.38
7143808,0.09,0.11,0.8
7123007,0.51,0.14,0.35
7120025,0.45,0.38,0.17
7095934,0.03,0.44,0.53
7102526,0.18,0.18,0.64
7149561,0.0,0.95,0.05
7147321,0.06,0.79,0.15
7163675,0.03,0.95,0.02
7203197,0.01,0.91,0.08
7192159,0.0,0.95,0.05
7124635,0.0,1.0,0.0
7138513,0.02,0.88,0.1
7116744,0.05,0.85,0.1
7228168,0.0,0.88,0.12
7156739,0.08,0.83,0.09
7233157,0.03,0.52,0.45
7091879,0.0,0.82,0.18
7145151,0.01,0.48,0.51
7230883,0.0,0.94,0.06
7188256,0.03,0.15,0.82
7203095,0.0,1.0,0.0
7142105,0.16,0.49,0.35
7210546,0.0,0.97,0.03
7134026,0.01,0.16,0.83
7119521,0.03,0.85,0.12
7225812,0.04,0.45,0.51
7231536,0.01,0.83,0.16
7120399,0.06,0.63,0.31
7209940,0.03,0.77,0.2
7125730,0.02,0.39,0.59
7129665,0.0,1.0,0.0
7156628,0.06,0.71,0.23
7154533,0.0,0.99,0.01
7194011,0.02,0.91,0.07
7159573,0.22,0.37,0.41
7122632,0.0,1.0,0.0
7199902,0.0,0.76,0.24
7204514,0.05,0.87,0.08
7114559,0.0,0.92,0.08
7172574,0.06,0.85,0.09
7190848,0.0,0.76,0.24
7127320,0.23,0.13,0.64
7099989,0.03,0.84,0.13
7193209,0.19,0.59,0.22
7163387,0.69,0.07,0.24
7192322,0.02,0.63,0.35
7181284,0.01,0.62,0.37
7138658,0.0,0.98,0.02
7094836,0.0,0.9,0.1
7228347,0.0,0.86,0.14
7092957,0.05,0.47,0.48
7095106,0.0,0.93,0.07
7118353,0.0,0.94,0.06
7187196,0.0,1.0,0.0
7171952,0.15,0.39,0.46
7109967,0.02,0.84,0.14
7121401,0.23,0.32,0.45
7117926,0.09,0.21,0.7
7149587,0.0,0.87,0.13
7153700,0.0,0.99,0.01
7128436,0.0,0.18,0.82
7156683,0.01,0.81,0.18
7183547,0.0,0.99,0.01
7130682,0.08,0.11,0.81
7191787,0.03,0.94,0.03
7201129,0.01,0.96,0.03
7131018,0.03,0.93,0.04
7191519,0.09,0.67,0.24
7129888,0.01,0.95,0.04
7119314,0.09,0.82,0.09
7173398,0.03,0.88,0.09
7100690,0.42,0.33,0.25
7111231,0.26,0.66,0.08
7173783,0.0,0.96,0.04
7185543,0.01,0.42,0.57
7190190,0.02,0.83,0.15
7157963,0.22,0.53,0.25
7158304,0.09,0.77,0.14
7095639,0.06,0.65,0.29
7130993,0.01,0.98,0.01
7117359,0.03,0.67,0.3
7122494,0.0,0.99,0.01
7093292,0.14,0.38,0.48
7214909,0.0,0.87,0.13
7178939,0.01,0.95,0.04
7209358,0.0,1.0,0.0
7232607,0.01,0.9,0.09
7207044,0.0,1.0,0.0
7223765,0.04,0.71,0.25
7103387,0.02,0.74,0.24
7149774,0.01,0.8,0.19
7105211,0.0,0.98,0.02
7183544,0.01,0.99,0.0
7233547,0.03,0.84,0.13
7096046,0.0,0.96,0.04
7174305,0.1,0.7,0.2
7172833,0.02,0.64,0.34
7109230,0.0,0.89,0.11
7180549,0.12,0.52,0.36
7096591,0.0,0.82,0.18
7110015,0.0,0.96,0.04
7114048,0.15,0.43,0.42
7111037,0.07,0.33,0.6
7218940,0.0,0.88,0.12
7151360,0.76,0.21,0.03
7127611,0.05,0.47,0.48
7157286,0.01,0.82,0.17
7155237,0.0,0.62,0.38
7152325,0.98,0.0,0.02
7133809,0.33,0.58,0.09
7151723,0.0,0.94,0.06
7139628,0.05,0.86,0.09
7116008,0.0,1.0,0.0
7139222,0.04,0.67,0.29
7118151,0.01,0.98,0.01
7211749,0.01,0.98,0.01
7216084,0.0,0.99,0.01
7167944,0.36,0.46,0.18
7204462,0.21,0.24,0.55
7170651,0.0,0.73,0.27
7166110,0.04,0.8,0.16
7215024,0.01,0.91,0.08
7092587,0.04,0.32,0.64
7228780,0.14,0.67,0.19
7113165,0.23,0.11,0.66
7185875,0.11,0.22,0.67
7207091,0.06,0.82,0.12
7154391,0.0,0.65,0.35
7134369,0.04,0.43,0.53
7114144,0.01,0.91,0.08
7225788,0.0,1.0,0.0
7174343,0.06,0.23,0.71
7184376,0.07,0.82,0.11
7099086,0.0,0.97,0.03
7206516,0.0,0.9,0.1
7109865,0.0,0.79,0.21
7221603,0.0,0.75,0.25
7102769,0.01,0.85,0.14
7136804,0.04,0.78,0.18
7133432,0.07,0.23,0.7
7211670,0.05,0.46,0.49
7193044,0.07,0.19,0.74
7179722,0.01,0.93,0.06
7098040,0.21,0.65,0.14
7228235,0.0,0.38,0.62
7168531,0.01,0.81,0.18
7092471,0.0,0.98,0.02
7151021,0.0,0.85,0.15
7117279,0.01,0.94,0.05
7231987,0.02,0.62,0.36
7152057,0.16,0.49,0.35
7169603,0.0,0.9,0.1
7190178,0.0,0.88,0.12
7098492,0.01,0.67,0.32
7151657,0.02,0.25,0.73
7202087,0.13,0.03,0.84
7172144,0.05,0.66,0.29
7151264,0.78,0.06,0.16
7167649,0.24,0.32,0.44
7125098,0.05,0.52,0.43
7192968,0.17,0.27,0.56
7167064,0.01,0.44,0.55
7208386,0.01,0.91,0.08
7140549,0.36,0.3,0.34
7232611,0.04,0.85,0.11
7231989,0.0,0.9,0.1
7131237,0.08,0.45,0.47
7123477,0.0,0.33,0.67
7139138,0.11,0.7,0.19
7100724,0.0,0.99,0.01
7114596,0.0,0.92,0.08
7143360,0.0,0.98,0.02
7131232,0.22,0.39,0.39
7135694,0.03,0.89,0.08
7156849,0.01,0.71,0.28
7134868,0.11,0.55,0.34
7204699,0.15,0.76,0.09
7159026,0.0,0.6,0.4
7210613,0.01,0.87,0.12
7178322,0.05,0.8,0.15
7092546,0.02,0.85,0.13
7175776,0.0,0.98,0.02
7198568,0.04,0.76,0.2
7205032,0.0,0.98,0.02
7191829,0.01,0.92,0.07
7090354,0.0,1.0,0.0
7103754,0.11,0.5,0.39
7210833,0.18,0.29,0.53
7119486,0.03,0.69,0.28
7313611,0.01,0.89,0.1
7192079,0.08,0.72,0.2
7174050,0.0,1.0,0.0
7158408,0.0,0.9,0.1
7162815,0.36,0.1,0.54
7128366,0.57,0.41,0.02
7233175,0.08,0.22,0.7
7095885,0.0,0.89,0.11
7098256,0.0,0.93,0.07
7198026,0.01,0.63,0.36
7179395,0.0,0.97,0.03
7126687,0.0,0.96,0.04
7186570,0.01,0.95,0.04
7174616,0.05,0.35,0.6
7190918,0.01,0.85,0.14
7174630,0.0,0.87,0.13
7099714,0.05,0.93,0.02
7210257,0.01,0.9,0.09
7218237,0.03,0.91,0.06
7194008,0.09,0.72,0.19
7145715,0.0,1.0,0.0
7161245,0.1,0.79,0.11
7232193,0.19,0.62,0.19
7157880,0.59,0.16,0.25
7234325,0.0,0.91,0.09
7105040,0.1,0.44,0.46
7123444,0.0,0.67,0.33
7098616,0.0,0.83,0.17
7111962,0.0,0.89,0.11
7206817,0.0,1.0,0.0
7140556,0.1,0.63,0.27
7214145,0.0,0.95,0.05
7215333,0.0,0.55,0.45
7130379,0.0,0.42,0.58
7215033,0.04,0.85,0.11
7200611,0.05,0.85,0.1
7159658,0.12,0.73,0.15
7109857,0.0,0.96,0.04
7187765,0.0,0.93,0.07
7197884,0.01,0.61,0.38
7141108,0.14,0.14,0.72
7221313,0.08,0.39,0.53
7160195,0.0,0.99,0.01
7135503,0.0,0.96,0.04
7184754,0.1,0.41,0.49
7181796,0.0,0.64,0.36
7204408,0.0,0.81,0.19
7125047,0.0,0.98,0.02
7170001,0.29,0.29,0.42
7222789,0.01,0.88,0.11
7119555,0.07,0.57,0.36
7103893,0.0,0.97,0.03
7231878,0.0,0.92,0.08
7194073,0.0,0.29,0.71
7156654,0.03,0.87,0.1
7181249,0.0,0.97,0.03
7155816,0.0,0.94,0.06
7140001,0.39,0.61,0.0
7167234,0.1,0.72,0.18
7102496,0.0,0.96,0.04
7232981,0.23,0.37,0.4
7216485,0.0,0.97,0.03
7224065,0.0,0.77,0.23
7172720,0.0,0.97,0.03
7119328,0.18,0.63,0.19
7166323,0.15,0.65,0.2
7095312,0.09,0.62,0.29
7126464,0.0,0.91,0.09
7156313,0.0,0.81,0.19
7142691,0.01,0.76,0.23
7180405,0.01,0.92,0.07
7201309,0.01,0.9,0.09
7229233,0.0,0.94,0.06
7128242,0.01,0.88,0.11
7206764,0.0,0.77,0.23
7125953,0.31,0.48,0.21
7193756,0.04,0.74,0.22
7110807,0.14,0.27,0.59
7123025,0.0,0.95,0.05
7229043,0.2,0.71,0.09
7144529,0.18,0.66,0.16
7089925,0.0,0.88,0.12
7142909,0.0,0.95,0.05
7200320,0.14,0.21,0.65
7216427,0.03,0.2,0.77
7192680,0.04,0.82,0.14
7130341,0.02,0.68,0.3
7214209,0.01,0.8,0.19
7207776,0.17,0.33,0.5
7185816,0.1,0.68,0.22
7172271,0.0,0.99,0.01
7165343,0.0,0.93,0.07
7212934,0.05,0.69,0.26
7152751,0.07,0.61,0.32
7089177,0.14,0.5,0.36
7135107,0.04,0.94,0.02
7092850,0.02,0.7,0.28
7158555,0.26,0.44,0.3
7234183,0.0,1.0,0.0
7118286,0.06,0.65,0.29
7119152,0.02,0.89,0.09
7223584,0.29,0.7,0.01
7123957,0.02,0.95,0.03
7223702,0.0,0.98,0.02
7108026,0.0,0.82,0.18
7165605,0.87,0.05,0.08
7227039,0.05,0.24,0.71
7157195,0.07,0.63,0.3
7104579,0.0,0.88,0.12
7119805,0.05,0.5,0.45
7142014,0.22,0.59,0.19
7174412,0.01,0.57,0.42
7205037,0.0,0.65,0.35
7096604,0.0,0.98,0.02
7214758,0.04,0.89,0.07
7135785,0.0,0.98,0.02
7210042,0.0,0.96,0.04
7150868,0.26,0.46,0.28
7115004,0.04,0.9,0.06
7208850,0.0,0.94,0.06
7122006,0.19,0.38,0.43
7218334,0.0,0.9,0.1
7164673,0.13,0.44,0.43
7098334,0.05,0.72,0.23
7116799,0.04,0.82,0.14
7158050,0.0,0.91,0.09
7113260,0.1,0.3,0.6
7169293,0.01,0.35,0.64
7219356,0.31,0.18,0.51
7103883,0.0,0.64,0.36
7162849,0.0,0.7,0.3
7220960,0.13,0.76,0.11
7218150,0.02,0.89,0.09
7169062,0.02,0.89,0.09
7132833,0.13,0.54,0.33
7153312,0.08,0.38,0.54
7102582,0.0,0.96,0.04
7128031,0.74,0.19,0.07
7226979,0.0,1.0,0.0
7174830,0.01,0.67,0.32
7095500,0.35,0.16,0.49
7203788,0.1,0.87,0.03
7195129,0.05,0.55,0.4
7096676,0.0,0.91,0.09
7139189,0.01,0.94,0.05
7156036,0.14,0.2,0.66
7201766,0.51,0.25,0.24
7127461,0.24,0.68,0.08
7176092,0.28,0.31,0.41
7093983,0.09,0.76,0.15
7219250,0.02,0.89,0.09
7216197,0.18,0.08,0.74
7175523,0.43,0.33,0.24
7096041,0.0,0.93,0.07
7106333,0.01,0.88,0.11
7135564,0.06,0.82,0.12
7230191,0.05,0.88,0.07
7094318,0.44,0.16,0.4
7157145,0.0,0.77,0.23
7141347,0.0,0.95,0.05
7197253,0.06,0.21,0.73
7151861,0.01,0.93,0.06
7128268,0.02,0.34,0.64
7180937,0.03,0.8,0.17
7097170,0.01,0.97,0.02
7205053,0.01,0.98,0.01
7223074,0.06,0.38,0.56
7127700,0.01,0.96,0.03
7184877,0.01,0.93,0.06
7156129,0.03,0.82,0.15
7233730,0.0,0.82,0.18
7153783,0.13,0.82,0.05
7113299,0.0,0.94,0.06
7098374,0.02,0.85,0.13
7225647,0.0,1.0,0.0
7111117,0.02,0.92,0.06
7138147,0.0,0.95,0.05
7120784,0.04,0.72,0.24
7186670,0.08,0.6,0.32
7145739,0.0,1.0,0.0
7090058,0.12,0.48,0.4
7110436,0.0,0.79,0.21
7232756,0.01,0.91,0.08
7111709,0.07,0.54,0.39
7107311,0.12,0.85,0.03
7210450,0.15,0.18,0.67
7127661,0.03,0.75,0.22
7096383,0.15,0.32,0.53
7137831,0.01,0.99,0.0
7160032,0.02,0.45,0.53
7128113,0.03,0.95,0.02
7197701,0.04,0.91,0.05
7140888,0.01,0.91,0.08
7098130,0.48,0.33,0.19
7158260,0.1,0.58,0.32
7112812,0.07,0.68,0.25
7179231,0.07,0.41,0.52
7123293,0.41,0.28,0.31
7127939,0.0,0.68,0.32
7210843,0.02,0.98,0.0
7119906,0.0,0.96,0.04
7157868,0.01,0.93,0.06
7160993,0.15,0.5,0.35
7198449,0.02,0.43,0.55
7194749,0.01,0.97,0.02
7164909,0.0,0.87,0.13
7155991,0.17,0.75,0.08
7219535,0.02,0.82,0.16
7127883,0.0,0.99,0.01
7192641,0.02,0.48,0.5
7222187,0.09,0.79,0.12
7129565,0.02,0.95,0.03
7143475,0.07,0.37,0.56
7121904,0.07,0.29,0.64
7124968,0.0,0.95,0.05
7103194,0.01,0.78,0.21
7197397,0.0,0.83,0.17
7181741,0.04,0.66,0.3
7139959,0.06,0.53,0.41
7179519,0.49,0.2,0.31
7187941,0.0,0.89,0.11
7142188,0.8,0.1,0.1
7224310,0.01,0.67,0.32
7142856,0.17,0.48,0.35
7090831,0.0,0.94,0.06
7152437,0.0,1.0,0.0
7130584,0.08,0.71,0.21
7162590,0.0,0.99,0.01
7210173,0.0,0.83,0.17
7173461,0.19,0.45,0.36
7201402,0.02,0.56,0.42
7156675,0.12,0.34,0.54
7105849,0.16,0.63,0.21
7190940,0.01,0.94,0.05
7176492,0.07,0.62,0.31
7109146,0.0,0.9,0.1
7135096,0.09,0.66,0.25
7145341,0.0,0.9,0.1
7170053,0.04,0.36,0.6
7222037,0.12,0.31,0.57
7200576,0.19,0.4,0.41
7219311,0.11,0.15,0.74
7088683,0.0,0.98,0.02
7197130,0.06,0.63,0.31
7198553,0.01,0.89,0.1
7092108,0.32,0.49,0.19
7233635,0.42,0.12,0.46
7162208,0.01,0.86,0.13
7113584,0.26,0.35,0.39
7088920,0.02,0.95,0.03
7212619,0.01,0.92,0.07
7108297,0.0,0.9,0.1
7212382,0.05,0.59,0.36
7228960,0.01,0.96,0.03
7223136,0.0,0.98,0.02
7140835,0.01,0.94,0.05
7161726,0.23,0.37,0.4
7193196,0.0,0.59,0.41
7131021,0.0,0.95,0.05
7136116,0.0,1.0,0.0
7199243,0.04,0.7,0.26
7107410,0.0,0.74,0.26
7111408,0.12,0.36,0.52
7143442,0.05,0.72,0.23
7201307,0.0,0.95,0.05
7163518,0.29,0.48,0.23
7210133,0.02,0.77,0.21
7155655,0.02,0.86,0.12
7140488,0.05,0.74,0.21
7133293,0.0,0.95,0.05
7126808,0.01,0.93,0.06
7227507,0.02,0.88,0.1
7159592,0.01,0.88,0.11
7180725,0.01,0.78,0.21
7150854,0.13,0.71,0.16
7137335,0.0,0.96,0.04
7158425,0.02,0.98,0.0
7213225,0.03,0.97,0.0
7148260,0.01,0.98,0.01
7111858,0.08,0.52,0.4
7171126,0.0,0.88,0.12
7189468,0.0,0.95,0.05
7192340,0.08,0.79,0.13
7164476,0.25,0.24,0.51
7510953,0.0,0.98,0.02
7233576,0.07,0.63,0.3
7181820,0.1,0.81,0.09
7152810,0.03,0.97,0.0
7201962,0.0,0.98,0.02
7139487,0.18,0.28,0.54
7227862,0.05,0.65,0.3
7207553,0.0,0.93,0.07
7161665,0.01,0.85,0.14
7145839,0.0,0.97,0.03
7111740,0.03,0.96,0.01
7218313,0.01,0.68,0.31
7210476,0.01,0.83,0.16
7215652,0.01,0.97,0.02
7139122,0.0,0.65,0.35
7105843,0.17,0.31,0.52
7202962,0.01,0.64,0.35
7125601,0.02,0.96,0.02
7177976,0.07,0.67,0.26
7160458,0.03,0.9,0.07
7101930,0.06,0.38,0.56
7162776,0.03,0.64,0.33
7201534,0.57,0.09,0.34
7134791,0.05,0.5,0.45
7187911,0.07,0.93,0.0
7179474,0.24,0.46,0.3
7211709,0.13,0.37,0.5
7091376,0.04,0.47,0.49
7220819,0.08,0.75,0.17
7097222,0.09,0.78,0.13
7214485,0.02,0.95,0.03
7191186,0.13,0.72,0.15
7113981,0.01,0.88,0.11
7100790,0.01,0.97,0.02
7147743,0.0,0.95,0.05
7092755,0.49,0.09,0.42
7113999,0.03,0.85,0.12
7119360,0.05,0.91,0.04
7088049,0.0,0.9,0.1
7144447,0.11,0.09,0.8
7123686,0.0,0.99,0.01
7178148,0.02,0.78,0.2
7100482,0.02,0.43,0.55
7131572,0.18,0.59,0.23
7181965,0.17,0.56,0.27
7110028,0.05,0.76,0.19
7107440,0.04,0.26,0.7
7124764,0.04,0.83,0.13
7152838,0.0,0.94,0.06
7146250,0.13,0.42,0.45
7198218,0.0,0.87,0.13
7136542,0.12,0.07,0.81
7204694,0.03,0.83,0.14
7230370,0.01,0.9,0.09
7207615,0.06,0.5,0.44
7170804,0.07,0.66,0.27
7100338,0.01,0.63,0.36
7102612,0.09,0.71,0.2
7136327,0.02,0.87,0.11
7226629,0.01,0.88,0.11
7154141,0.0,0.88,0.12
7119278,0.03,0.85,0.12
7172516,0.01,0.92,0.07
7173854,0.02,0.86,0.12
7113913,0.0,0.96,0.04
7214948,0.0,1.0,0.0
7167244,0.14,0.56,0.3
7212552,0.04,0.5,0.46
7169247,0.05,0.77,0.18
7164608,0.71,0.23,0.06
7104037,0.0,1.0,0.0
7161305,0.05,0.74,0.21
7233719,0.08,0.69,0.23
7197388,0.05,0.71,0.24
7109575,0.57,0.28,0.15
7204398,0.0,0.83,0.17
7218631,0.01,0.79,0.2
7130018,0.0,0.91,0.09
7123544,0.02,0.69,0.29
7159778,0.0,1.0,0.0
7212037,0.01,0.91,0.08
7141155,0.0,0.94,0.06
7131753,0.0,0.89,0.11
7172478,0.01,0.91,0.08
7119936,0.01,0.7,0.29
7178319,0.0,1.0,0.0
7210976,0.0,0.84,0.16
7088694,0.1,0.03,0.87
7126674,0.0,1.0,0.0
7225095,0.01,0.26,0.73
7177379,0.03,0.68,0.29
7167344,0.01,0.98,0.01
7092487,0.24,0.34,0.42
7207338,0.02,0.89,0.09
7200580,0.24,0.56,0.2
7101757,0.0,0.98,0.02
7106534,0.1,0.52,0.38
7140877,0.0,0.77,0.23
7088400,0.02,0.79,0.19
7208826,0.35,0.19,0.46
7124298,0.18,0.29,0.53
7197164,0.02,0.91,0.07
7188447,0.05,0.5,0.45
7193170,0.07,0.83,0.1
7232150,0.49,0.19,0.32
7206931,0.03,0.8,0.17
7163701,0.03,0.58,0.39
7230747,0.0,0.47,0.53
7123636,0.0,0.99,0.01
7100167,0.73,0.0,0.27
7095483,0.02,0.88,0.1
7212292,0.01,0.81,0.18
7161423,0.05,0.29,0.66
7094323,0.03,0.67,0.3
7134126,0.01,0.97,0.02
7135730,0.0,0.99,0.01
7114056,0.48,0.45,0.07
7162122,0.02,0.92,0.06
7226116,0.0,0.91,0.09
7225528,0.0,0.95,0.05
7198381,0.0,0.86,0.14
7165862,0.01,0.91,0.08
7226721,0.08,0.89,0.03
7119665,0.0,0.92,0.08
7092959,0.18,0.28,0.54
7233370,0.02,0.82,0.16
7198643,0.19,0.2,0.61
7151311,0.0,0.72,0.28
7228932,0.4,0.22,0.38
7133618,0.06,0.59,0.35
7155042,0.0,1.0,0.0
7202228,0.06,0.56,0.38
7138573,0.0,1.0,0.0
7108430,0.0,0.68,0.32
7231314,0.05,0.85,0.1
7124228,0.03,0.37,0.6
7174511,0.05,0.9,0.05
7185449,0.0,1.0,0.0
7213650,0.04,0.88,0.08
7133941,0.02,0.83,0.15
7187366,0.0,0.98,0.02
7224166,0.11,0.72,0.17
7169973,0.05,0.8,0.15
7210489,0.0,0.69,0.31
7161088,0.09,0.29,0.62
7153934,0.01,0.51,0.48
7131257,0.0,0.89,0.11
7194859,0.08,0.6,0.32
7113061,0.65,0.14,0.21
7204259,0.0,0.99,0.01
7222883,0.03,0.94,0.03
7102127,0.03,0.6,0.37
7101779,0.0,0.95,0.05
7204401,0.0,0.95,0.05
7102696,0.0,0.93,0.07
7167132,0.0,0.9,0.1
7153925,0.22,0.38,0.4
7109556,0.01,0.92,0.07
7140782,0.03,0.73,0.24
7150633,0.11,0.69,0.2
7130332,0.16,0.76,0.08
7090117,0.05,0.95,0.0
7159969,0.04,0.75,0.21
7159980,0.0,0.96,0.04
7094322,0.21,0.49,0.3
7169785,0.22,0.17,0.61
7137077,0.01,0.9,0.09
7166021,0.0,0.91,0.09
7090007,0.0,0.94,0.06
7174035,0.0,0.99,0.01
7222684,0.01,0.94,0.05
7145358,0.0,0.76,0.24
7198874,0.11,0.49,0.4
7227001,0.06,0.69,0.25
7213525,0.02,0.79,0.19
7222801,0.0,0.97,0.03
7223947,0.15,0.76,0.09
7217717,0.0,0.94,0.06
7131037,0.0,1.0,0.0
7212360,0.65,0.14,0.21
7116094,0.21,0.56,0.23
7117057,0.01,0.96,0.03
7110218,0.17,0.33,0.5
7224295,0.04,0.7,0.26
7156844,0.05,0.24,0.71
7132335,0.18,0.26,0.56
7177151,0.47,0.27,0.26
7145144,0.01,0.77,0.22
7088527,0.0,0.99,0.01
7591938,0.02,0.93,0.05
7164189,0.01,0.9,0.09
7181386,0.03,0.64,0.33
7154896,0.0,0.94,0.06
7171775,0.01,0.98,0.01
7223791,0.01,0.94,0.05
7114825,0.01,0.99,0.0
7186411,0.06,0.69,0.25
7178692,0.02,0.85,0.13
7092405,0.15,0.29,0.56
7154186,0.0,0.91,0.09
7089860,0.02,0.69,0.29
7093311,0.04,0.7,0.26
7095391,0.0,0.9,0.1
7117897,0.02,0.73,0.25
7109138,0.01,0.75,0.24
7099040,0.0,0.75,0.25
7093041,0.0,0.98,0.02
7094767,0.01,0.97,0.02
7111403,0.08,0.46,0.46
7136662,0.02,0.84,0.14
7172760,0.01,0.88,0.11
7093925,0.17,0.52,0.31
7151085,0.0,0.55,0.45
7229152,0.02,0.93,0.05
7177630,0.04,0.37,0.59
7112601,0.02,0.55,0.43
7091858,0.15,0.49,0.36
7145790,0.1,0.65,0.25
7121469,0.22,0.51,0.27
7131218,0.0,0.98,0.02
7089818,0.03,0.85,0.12
7218493,0.14,0.37,0.49
7102516,0.03,0.85,0.12
7128832,0.01,0.86,0.13
7141416,0.0,0.92,0.08
7119172,0.0,0.48,0.52
7104404,0.07,0.63,0.3
7155370,0.01,0.5,0.49
7099106,0.06,0.63,0.31
7207897,0.0,0.96,0.04
7181407,0.52,0.32,0.16
7230033,0.17,0.68,0.15
7089127,0.16,0.41,0.43
7209677,0.0,0.94,0.06
7140941,0.04,0.29,0.67
7104655,0.01,0.91,0.08
7229311,0.18,0.51,0.31
7150462,0.04,0.79,0.17
7193420,0.22,0.6,0.18
7224661,0.01,0.81,0.18
7105052,0.0,0.68,0.32
7211261,0.27,0.37,0.36
7209769,0.1,0.59,0.31
7167803,0.0,0.91,0.09
7095923,0.01,0.86,0.13
7187442,0.06,0.79,0.15
7108785,0.0,0.89,0.11
7179725,0.05,0.85,0.1
7210753,0.02,0.53,0.45
7211593,0.12,0.78,0.1
7186078,0.0,0.83,0.17
7090925,0.23,0.26,0.51
7134002,0.16,0.59,0.25
7164549,0.03,0.81,0.16
7215742,0.0,0.99,0.01
7108240,0.0,0.98,0.02
7197086,0.05,0.13,0.82
7205678,0.0,1.0,0.0
7122785,0.0,0.93,0.07
7114064,0.0,0.93,0.07
7224343,0.01,0.94,0.05
7194178,0.0,0.33,0.67
7095589,0.01,0.9,0.09
7197800,0.03,0.93,0.04
7088799,0.04,0.91,0.05
7194121,0.02,0.83,0.15
